Pelosi,0.03981691166975462,0.01787077185648573,-423.0,5.0,-209.0,214.0
Passed,0.010797049059883004,-0.0450897414913673,3.0,369.0,186.0,183.0
Passed,0.039570313745272555,0.016909529984349757,-418.0,10.0,-204.0,214.0
Passed,0.03913973542031227,0.015457222199832237,-410.0,18.0,-196.0,214.0
Passed,0.03984883500477543,0.01674198122407911,-421.0,13.0,-204.0,217.0
Failed,-0.039758681647043395,-0.01664062558914653,420.0,-14.0,203.0,-217.0
Passed,0.03998360023983063,0.01709813651253196,-423.0,11.0,-206.0,217.0
Passed,0.01299123938816615,-0.04920650203690711,-6.0,410.0,202.0,208.0
Failed,-0.03126208540519927,0.012982218782131601,259.0,-181.0,39.0,-220.0
Failed,-0.03331440816057344,0.006162709009831433,293.0,-143.0,75.0,-218.0
Passed,0.040144851081162065,0.016881576692424474,-425.0,13.0,-206.0,219.0
Passed,0.040280073083576194,0.016428233901277775,-426.0,18.0,-204.0,222.0
Passed,0.04039950093288846,0.016518697450201594,-427.0,17.0,-205.0,222.0
Passed,0.040307726158850025,0.016633412212843465,-426.0,16.0,-205.0,221.0
Passed,0.04016346306184728,0.016415213839378873,-424.0,18.0,-203.0,221.0
Passed,0.03980230975615854,0.013501738466200838,-410.0,34.0,-188.0,222.0
Passed,0.02109901459328402,-0.02697014657832457,-133.0,249.0,58.0,191.0
Passed,0.04035974463983463,0.01727038594237313,-426.0,12.0,-207.0,219.0
Passed,0.039565041145441134,0.01788745295191013,-420.0,6.0,-207.0,213.0
Passed,0.040239933168252535,0.018008499692799683,-426.0,6.0,-210.0,216.0
Passed,0.040635014206050916,0.017438551813357267,-427.0,9.0,-209.0,218.0
Passed,0.04067600674060308,0.017632651071974096,-428.0,8.0,-210.0,218.0
Failed,-0.04034413624496956,-0.017065806503700553,423.0,-13.0,205.0,-218.0
Passed,0.040075363716311076,0.013613838742850944,-407.0,31.0,-188.0,219.0
Passed,0.0406970295684237,0.01764237185744673,-430.0,10.0,-210.0,220.0
Passed,0.040357976057550114,0.01749596002244279,-426.0,10.0,-208.0,218.0
Agreed to,0.03769838476915452,0.00769334673055949,-369.0,65.0,-152.0,217.0
Failed,-0.038026386670957306,-0.010105674093954483,380.0,-50.0,165.0,-215.0
Failed,-0.03740504679962231,-0.008790186491248797,368.0,-70.0,149.0,-219.0
Passed,0.03794805321277528,0.006819376860213795,-364.0,74.0,-145.0,219.0
Passed,0.01040926138385126,-0.04834322683600089,15.0,391.0,203.0,188.0
Failed,-0.0394352991375217,-0.01697944921803559,416.0,-12.0,202.0,-214.0
Passed,0.04063309961406711,0.017899671288565983,-430.0,8.0,-211.0,219.0
Passed,0.0403609484027894,0.017383901858124332,-426.0,10.0,-208.0,218.0
