<<<<<<< HEAD
Hastert,-0.03625032919550655,0.027873739208515436,424.0,28.0,226.0,-198.0
Passed,-0.03542943505874677,0.026597871599641946,413.0,33.0,223.0,-190.0
Passed,-0.035480356815804234,0.027411740338244176,417.0,27.0,222.0,-195.0
Failed,0.034992287473600246,-0.027452144463579214,-412.0,-24.0,-218.0,194.0
Passed,-0.03517083666036973,0.02728896231853354,414.0,26.0,220.0,-194.0
Failed,0.025294686965899194,0.013941220548953531,-121.0,-235.0,-178.0,-57.0
Passed,-0.026091004354760083,-0.03512481464224632,28.0,390.0,209.0,181.0
Passed,-0.026217006638345076,-0.03505707310643798,30.0,392.0,211.0,181.0
Failed,0.033634352460092304,-0.025925655764516393,-392.0,-24.0,-208.0,184.0
Failed,0.033397072213874224,-0.025151404590222623,-388.0,-30.0,-209.0,179.0
Failed,0.03436040772003615,-0.025793232197136858,-399.0,-31.0,-215.0,184.0
Passed,-0.03335055728133357,0.020563586625720977,357.0,59.0,208.0,-149.0
Passed,-0.02686228730837784,-0.03656223122172385,29.0,407.0,218.0,189.0
Passed,-0.027281253111033858,-0.0364984769877985,33.0,409.0,221.0,188.0
Passed,-0.03392967711575153,-0.007972715633291882,202.0,244.0,223.0,21.0
Passed,-0.02756200614184319,-0.03701126060437921,31.0,413.0,222.0,191.0
Passed,-0.027246081961153964,-0.036534810332570535,31.0,407.0,219.0,188.0
Passed,-0.02844955176407437,-0.034086003644013575,50.0,394.0,222.0,172.0
Passed,-0.028157927651028633,-0.03625698030941886,41.0,413.0,227.0,186.0
Passed,-0.02803903377619737,-0.036161881569709065,39.0,411.0,225.0,186.0
Passed,-0.02736517755104984,-0.03554029606939421,37.0,403.0,220.0,183.0
Passed,-0.03625591935450489,0.02629367076751264,416.0,38.0,227.0,-189.0
Passed,-0.029000048288732545,-0.035662656306274444,48.0,410.0,229.0,181.0
Passed,-0.02806397788619944,-0.03764910288917886,34.0,422.0,228.0,194.0
Passed,-0.028027020895005465,-0.0375631782566436,33.0,421.0,227.0,194.0
Passed,-0.03641739904708188,0.02766218138003818,425.0,31.0,228.0,-197.0
Failed,0.03421476903874184,-0.02231431455938558,-360.0,-52.0,-206.0,154.0
Failed,0.035153525995901894,-0.020716254176625842,-359.0,-65.0,-212.0,147.0
Failed,0.03620174712812298,-0.02649008745505308,-415.0,-35.0,-225.0,190.0
Passed,-0.034955639110541344,0.01471540982558573,322.0,102.0,212.0,-110.0
