<<<<<<< HEAD
Boehner,-0.02922694898919777,0.004836111866541515,360.0,24.0,192.0,-168.0
Passed,-0.03172020172355729,0.0006494986164950521,390.0,70.0,230.0,-160.0
Passed,-0.033043526080006255,0.0008422914971911244,405.0,71.0,238.0,-167.0
Failed,0.0330594381545956,-0.00022162918024912405,-403.0,-75.0,-239.0,164.0
Passed,-0.03243811354670621,0.001464811398085291,398.0,62.0,230.0,-168.0
Passed,-0.007412061614305767,-0.0585246043972144,68.0,412.0,240.0,172.0
Passed,-0.006308796542255293,-0.05963965343445414,53.0,411.0,232.0,179.0
Failed,-0.029567198686443173,-0.010225696673890365,350.0,130.0,240.0,-110.0
Passed,-2.4683163311636845e-05,-0.053391711060267875,-18.0,342.0,162.0,180.0
Passed,-0.03402669453328165,0.002937297625222712,418.0,60.0,239.0,-179.0
Passed,-0.03431746856843488,0.0024478299871727046,419.0,63.0,241.0,-178.0
Failed,0.034005599247124645,-0.001990638642344793,-415.0,-65.0,-240.0,175.0
Passed,-0.03327007582429383,-0.0009312408693974439,400.0,80.0,240.0,-160.0
Failed,0.03390968163131883,-0.003340557314390348,-417.0,-57.0,-237.0,180.0
Passed,-0.030537574640771125,-0.007070133968801863,363.0,113.0,238.0,-125.0
Passed,-0.007144484172044235,-0.05745742203191359,65.0,403.0,234.0,169.0
Passed,-0.00697205001710807,-0.05719848985876381,63.0,401.0,232.0,169.0
Passed,-0.0029040779051097464,-0.018902199576297348,25.0,129.0,77.0,52.0
Passed,-0.03437850942212268,0.0029002304944169893,423.0,61.0,242.0,-181.0
Passed,-0.0342198069701912,0.002649685638174113,420.0,62.0,241.0,-179.0
Passed,-0.003012676522260918,-0.01444560121548581,29.0,101.0,65.0,36.0
Agreed to,-0.032912205646486455,-0.0018802813102561523,396.0,86.0,241.0,-155.0
Failed,0.03376718227947161,-0.0012577286756468103,-411.0,-69.0,-240.0,171.0
Failed,0.033902397775484386,-0.0006741334164770487,-411.0,-73.0,-242.0,169.0
Failed,0.03402450108003209,-0.0012238313351985793,-412.0,-70.0,-241.0,171.0
Failed,0.03444530762132671,-0.0021933563971873377,-421.0,-65.0,-243.0,178.0
Passed,-0.03389035150673415,0.00020014542284409602,409.0,75.0,242.0,-167.0
Agreed to,-0.033685089729750345,0.005183730316749218,413.0,47.0,230.0,-183.0
Agreed to,-0.03084892058727679,0.011029364222780636,375.0,9.0,192.0,-183.0
Agreed to,-0.029814635894068884,-0.009709119603612556,355.0,129.0,242.0,-113.0
Agreed to,-0.03262075888464903,-0.0012607451920722318,392.0,82.0,237.0,-155.0
Agreed to,-0.03254315514710249,-0.003412548344517965,391.0,93.0,242.0,-149.0
Failed,0.034760403250073964,-0.0031488349271837253,-428.0,-60.0,-244.0,184.0
Passed,-0.033148129641357695,0.00467464323103017,403.0,45.0,224.0,-179.0
Failed,0.034493907802090294,-0.002983602070068518,-423.0,-59.0,-241.0,182.0
Passed,-0.03062491524217861,-0.007891389377308343,365.0,117.0,241.0,-124.0
Passed,-0.03411845549323747,0.0034599882802574715,420.0,56.0,238.0,-182.0
Passed,-0.0340218911523179,0.0032294280114671206,417.0,57.0,237.0,-180.0
Failed,0.034155027788091985,-0.0029237382304690427,-419.0,-59.0,-239.0,180.0
Passed,-0.03276476248268294,-0.0017394409663227728,394.0,84.0,239.0,-155.0
Passed,-0.03429906701123877,0.0036188726943681042,422.0,56.0,239.0,-183.0
Passed,-0.034083823834557235,0.002417799157574855,417.0,63.0,240.0,-177.0
Failed,0.033791864662988405,-0.0024761849016295442,-415.0,-63.0,-239.0,176.0
Passed,-0.03391372778571144,0.0022977927164807613,413.0,63.0,238.0,-175.0
Passed,-0.0328352007839664,0.0004366246728212828,400.0,72.0,236.0,-164.0
Passed,-0.006980925847838596,-0.0585870258890891,62.0,410.0,236.0,174.0
Passed,-0.007066520464445989,-0.05873323258386605,63.0,411.0,237.0,174.0
Failed,0.03335781175856196,-0.0023967391309849847,-410.0,-62.0,-236.0,174.0
Passed,-0.027800296290001678,-0.012704932349974156,326.0,144.0,235.0,-91.0
Passed,-0.006931572450698639,-0.05381392630005907,63.0,375.0,219.0,156.0
Passed,-0.007208791524315142,-0.053792777550870724,67.0,379.0,223.0,156.0
Passed,0.0013233840834553986,-0.04471833522864682,-31.0,277.0,123.0,154.0
Passed,-0.03397915250331772,0.0022516617556611793,418.0,66.0,242.0,-176.0
Passed,-0.03413588676234318,0.0025910153622742474,420.0,64.0,242.0,-178.0
Passed,-0.003878402243732197,-0.016606530508567936,35.0,119.0,77.0,42.0
Failed,0.03397470105900835,-0.002721311259307087,-418.0,-62.0,-240.0,178.0
Passed,-0.03410587639991156,0.0043222633909512035,419.0,53.0,236.0,-183.0
Passed,-0.03366145637702897,0.001857709145990098,414.0,68.0,241.0,-173.0
Passed,-0.03412243848014521,0.002361528663728854,416.0,64.0,240.0,-176.0
Failed,0.03411318428443579,-0.0020186531543520806,-414.0,-66.0,-240.0,174.0
Failed,0.03349070930900314,-0.00010015214750133086,-404.0,-76.0,-240.0,164.0
Failed,0.034174353212014605,-0.0034664277289552453,-419.0,-55.0,-237.0,182.0
Passed,-0.03358190961410261,0.00012750436050193447,405.0,77.0,241.0,-164.0
Failed,0.03348535395948646,-0.0044805773850902075,-412.0,-50.0,-231.0,181.0
Failed,0.033474159637565636,-0.00015573022782972923,-404.0,-76.0,-240.0,164.0
Failed,0.034167780540380235,-0.0032144114153417813,-420.0,-58.0,-239.0,181.0
Passed,-0.03223639785486898,-0.0037841576312718063,385.0,97.0,241.0,-144.0
Passed,-0.006443777626931545,-0.05945454280521174,56.0,414.0,235.0,179.0
Passed,-0.006240400940283692,-0.05899644300612426,54.0,410.0,232.0,178.0
Passed,-0.03454856745725387,0.003357315205919674,425.0,59.0,242.0,-183.0
Passed,-0.03396992870128735,0.0011257291916566283,413.0,71.0,242.0,-171.0
Passed,-0.005177269638466991,-0.014524227702290412,53.0,107.0,80.0,27.0
Failed,0.03401036539164614,-0.00266021173462543,-416.0,-60.0,-238.0,178.0
Passed,-0.03049876245940173,-0.007816934433834221,362.0,118.0,240.0,-122.0
Passed,-0.006640995292788536,-0.05999873543614922,58.0,420.0,239.0,181.0
Passed,-0.032320731649210226,0.0010631422789538747,396.0,68.0,232.0,-164.0
Passed,-0.03218288572311628,0.0006789933255012876,394.0,70.0,232.0,-162.0
Failed,0.032949561966798185,-6.008040840580519e-05,-405.0,-77.0,-241.0,164.0
Passed,-0.028419436608351903,-0.012647901633922787,336.0,142.0,239.0,-97.0
Failed,0.03331955639960402,-0.0013965926569755097,-410.0,-68.0,-239.0,171.0
Passed,-0.02915169799919592,-0.010569406733586254,346.0,130.0,238.0,-108.0
Passed,-0.00272582971136411,-0.010623130655131683,23.0,75.0,49.0,26.0
Passed,-0.00036397944673798217,-0.05283949329159557,-14.0,338.0,162.0,176.0
Passed,-0.0068272120367438086,-0.05885933728451246,61.0,411.0,236.0,175.0
Passed,-0.03425864885108368,0.0030854888567493095,422.0,60.0,241.0,-181.0
Passed,-0.03410058815344372,0.0021995325082657014,417.0,65.0,241.0,-176.0
Passed,-0.005486674524448434,-0.05902291512884687,44.0,404.0,224.0,180.0
Failed,0.03364559869087271,-0.0015618563274661767,-411.0,-67.0,-239.0,172.0
Passed,-0.009713934623549242,-0.053850285374493566,97.0,381.0,239.0,142.0
Passed,-0.03163606650363667,0.002575480858031604,389.0,57.0,223.0,-166.0
Passed,-0.033512194575567165,0.0032047731244810385,411.0,57.0,234.0,-177.0
Passed,-0.03379737234068308,0.004517777000097096,416.0,50.0,233.0,-183.0
Passed,-0.002749813488277404,-0.010803814861424276,26.0,78.0,52.0,26.0
Failed,0.03088028176213868,-0.009975743875705859,-373.0,-13.0,-193.0,180.0
Failed,-0.007527955672835444,0.03553198313703711,99.0,-197.0,-49.0,-148.0
Failed,0.03360847403359753,-0.002646829103094015,-413.0,-61.0,-237.0,176.0
Agreed to,0.02886000218651423,-0.014196428580815674,-349.0,17.0,-166.0,183.0
Failed,0.03401534641409961,-0.004116367774609382,-418.0,-54.0,-236.0,182.0
Passed,-0.03434949415062702,0.003605840079511756,423.0,57.0,240.0,-183.0
Passed,-0.034351584974684934,0.0035903279786490437,423.0,57.0,240.0,-183.0
Passed,-0.03241487176272854,0.006527915695072479,395.0,37.0,216.0,-179.0
Passed,-0.0031938319571933656,-0.005104703628744683,32.0,40.0,36.0,4.0
Failed,-0.024078509201375144,0.008110782632368004,299.0,-21.0,139.0,-160.0
Failed,0.030951967969551374,-0.009718721188993747,-377.0,-17.0,-197.0,180.0
Passed,0.002055742924979734,-0.04821758091999101,-41.0,297.0,128.0,169.0
Passed,-0.006631826867008876,-0.05818468646873304,59.0,405.0,232.0,173.0
Failed,-0.01804412070048171,0.0306120881927507,222.0,-138.0,42.0,-180.0
Passed,0.022580085556129247,-0.02432665524625455,-274.0,90.0,-92.0,182.0
Failed,-0.01957068407683745,0.02918751806212946,241.0,-125.0,58.0,-183.0
Failed,0.03368365957842428,-0.004518964505816258,-414.0,-48.0,-231.0,183.0
Passed,0.01191068610963143,-0.03973839480662068,-153.0,215.0,31.0,184.0
Passed,-0.005380231124654791,-0.056206267931880056,43.0,379.0,211.0,168.0
Passed,-0.004328184437886066,-0.0549947867297982,31.0,367.0,199.0,168.0
Passed,-0.006923047310023581,-0.056760229543646505,63.0,395.0,229.0,166.0
Passed,-0.03360986530582387,0.0040819535947831664,413.0,51.0,232.0,-181.0
Passed,-0.03366010234943203,0.003128361145110032,410.0,56.0,233.0,-177.0
Passed,-0.00625196062837124,-0.05983903881494463,53.0,415.0,234.0,181.0
Agreed to,-0.03219744804211647,0.0012129455004347475,389.0,67.0,228.0,-161.0
Failed,0.033783473857877055,-0.0030140330419200006,-412.0,-58.0,-235.0,177.0
Passed,-0.03376544242330621,0.0034039872246104416,411.0,55.0,233.0,-178.0
Failed,0.03199539989206664,0.002855174770143876,-384.0,-90.0,-237.0,147.0
Failed,0.03348362587573439,-0.004819139989296717,-409.0,-47.0,-228.0,181.0
Failed,0.03405146361553167,-0.002987944696165528,-416.0,-58.0,-237.0,179.0
Passed,-0.03358396736153044,0.0016591324249528795,406.0,66.0,236.0,-170.0
Passed,-0.03368172278460651,0.003863015802016446,414.0,52.0,233.0,-181.0
Passed,-0.03356621618616309,0.0036868490646954554,412.0,52.0,232.0,-180.0
Passed,-0.03357239096231691,0.0049022580013941336,412.0,46.0,229.0,-183.0
Passed,-0.0035676137722440034,-0.010148371286741108,38.0,74.0,56.0,18.0
Passed,0.010326021158719964,-0.03661473629133644,-133.0,199.0,33.0,166.0
Passed,-0.01051626355832199,-0.0433880796544104,108.0,300.0,204.0,96.0
Passed,-0.03402678774105302,0.003198560674343192,418.0,58.0,238.0,-180.0
Passed,-0.033818519695098005,0.003231352385976879,415.0,57.0,236.0,-179.0
Passed,-0.006606583932646026,-0.06016570938394142,58.0,420.0,239.0,181.0
Passed,-0.0019459654454714545,-0.014077512244673218,18.0,98.0,58.0,40.0
Failed,0.022247528447450236,0.028475652678019776,-254.0,-234.0,-244.0,10.0
Failed,0.02590121123156872,0.02011592833758998,-302.0,-186.0,-244.0,58.0
Failed,-0.016432694682176813,0.03355269689253953,202.0,-162.0,20.0,-182.0
Failed,0.03189613668983845,0.005088549284378351,-380.0,-104.0,-242.0,138.0
